Yr,Winner,Loser
2015,Golden State Warriors (1),Memphis Grizzlies (5)
2015,Cleveland Cavaliers (2),Atlanta Hawks (1)
2015,Golden State Warriors (1),Houston Rockets (2)
2015,Golden State Warriors (1),Cleveland Cavaliers (2)
2014,Indiana Pacers (1),Atlanta Hawks (8)
2014,Miami Heat (2),Charlotte Bobcats (7)
2014,Brooklyn Nets (6),Toronto Raptors (3)
2014,Washington Wizards (5),Chicago Bulls (4)
2014,San Antonio Spurs (1),Dallas Mavericks (8)
2014,Oklahoma City Thunder (2),Memphis Grizzlies (7)
2014,Los Angeles Clippers (3),Golden State Warriors (6)
2014,Portland Trail Blazers (5),Houston Rockets (4)
2014,Indiana Pacers (1),Washington Wizards (5)
2014,Miami Heat (2),Brooklyn Nets (6)
2014,San Antonio Spurs (1),Portland Trail Blazers (5)
2014,Oklahoma City Thunder (2),Los Angeles Clippers (3)
2014,Miami Heat (2),Indiana Pacers (1)
2014,San Antonio Spurs (1),Oklahoma City Thunder (2)
2014,San Antonio Spurs (1),Miami Heat (2)
2013,Miami Heat (1),Milwaukee Bucks (8)
2013,New York Knicks (2),Boston Celtics (7)
2013,Indiana Pacers (3),Atlanta Hawks (6)
2013,Chicago Bulls (5),Brooklyn Nets (4)
2013,Oklahoma City Thunder (1),Houston Rockets (8)
2013,San Antonio Spurs (2),Los Angeles Lakers (7)
2013,Golden State Warriors (6),Denver Nuggets (3)
2013,Memphis Grizzlies (5),Los Angeles Clippers (4)
2013,Miami Heat (1),Chicago Bulls (5)
2013,Indiana Pacers (3),New York Knicks (2)
2013,Memphis Grizzlies (5),Oklahoma City Thunder (1)
2013,San Antonio Spurs (2),Golden State Warriors (6)
2013,Miami Heat (1),Indiana Pacers (3)
2013,San Antonio Spurs (2),Memphis Grizzlies (5)
2013,Miami Heat (1),San Antonio Spurs (2)
2012,Philadelphia 76ers (8),Chicago Bulls (1)
2012,Miami Heat (2),New York Knicks (7)
2012,Indiana Pacers (3),Orlando Magic (6)
2012,Boston Celtics (4),Atlanta Hawks (5)
2012,San Antonio Spurs (1),Utah Jazz (8)
2012,Oklahoma City Thunder (2),Dallas Mavericks (7)
2012,Los Angeles Lakers (3),Denver Nuggets (6)
2012,Los Angeles Clippers (5),Memphis Grizzlies (4)
2012,Miami Heat (2),Indiana Pacers (3)
2012,Boston Celtics (4),Philadelphia 76ers (8)
2012,San Antonio Spurs (1),Los Angeles Clippers (5)
2012,Oklahoma City Thunder (2),Los Angeles Lakers (3)
2012,Oklahoma City Thunder (2),San Antonio Spurs (1)
2012,Miami Heat (2),Boston Celtics (4)
2012,Miami Heat (2),Oklahoma City Thunder (2)
2011,Chicago Bulls (1),Indiana Pacers (8)
2011,Miami Heat (2),Philadelphia 76ers (7)
2011,Boston Celtics (3),New York Knicks (6)
2011,Atlanta Hawks (5),Orlando Magic (4)
