Team,3PM,3PA,3P%,3P% share in Total Points,Year
Miami Heat,4.2,13.4,31.6,14.7,2002-03
Milwaukee Bucks,7.1,18.6,38.3,21.4,2002-03
Minnesota Timberwolves,3.6,9.8,36.8,11,2002-03
New York Knicks,7.4,19.3,38.3,23.1,2002-03
Oklahoma City Thunder,5.6,15.7,35.3,18.2,2002-03
Orlando Magic,6.9,19.4,35.7,21,2002-03
Philadelphia 76ers,3,9.6,31.1,9.3,2002-03
Phoenix Suns,4.8,14,34.3,15.1,2002-03
Portland Trail Blazers,4.6,14,33,14.5,2002-03
Sacramento Kings,6,15.7,38.1,17.7,2002-03
San Antonio Spurs,5.5,15.5,35.4,17.2,2002-03
Toronto Raptors,5,14.5,34.3,16.5,2002-03
Utah Jazz,2.7,7.8,34.9,8.6,2002-03
Washington Wizards,3.1,9.9,31.2,10.2,2002-03
Charolette Hornets, , , , ,2002-03
New Orleans Pelicans,4.9,13.1,37.6,15.7,2002-03
Atlanta Hawks,5.1,15.2,33.5,16.5,2003-04
Boston Celtics,6.7,19.5,34.6,21.1,2003-04
Brooklyn Nets,4.6,13.7,33.6,15.3,2003-04
Chicago Bulls,5.2,15.3,34.2,17.4,2003-04
Cleveland Cavaliers,3,9.6,31.4,9.7,2003-04
Dallas Mavericks,6.2,17.8,34.8,17.7,2003-04
Denver Nuggets,4,12,33.6,12.3,2003-04
Detroit Pistons,4.1,11.8,34.4,13.7,2003-04
Golden State Warriors,5.2,15.6,33.4,16.7,2003-04
Houston Rockets,6.3,17.1,36.6,21,2003-04
Indiana Pacers,5.5,15.6,35.1,18.1,2003-04
Los Angeles Clippers,4,12.5,32.1,12.7,2003-04
Los Angeles Lakers,4.5,13.6,32.7,13.7,2003-04
Memphis Grizzlies,5.5,16,34,17.1,2003-04
Miami Heat,5.9,16.5,35.7,19.6,2003-04
Milwaukee Bucks,4.9,14,35,15,2003-04
Minnesota Timberwolves,4,10.9,36.3,12.7,2003-04
New York Knicks,5,13.6,36.4,16.3,2003-04
Oklahoma City Thunder,8.8,23.6,37.3,27.2,2003-04
Orlando Magic,5.2,15.2,34.4,16.6,2003-04
Philadelphia 76ers,4.1,12.1,34.2,14,2003-04
Phoenix Suns,5.1,14.7,34.5,16.2,2003-04
Portland Trail Blazers,4.6,13.4,34.6,15.2,2003-04
Sacramento Kings,7.3,18.3,40.1,21.3,2003-04
San Antonio Spurs,5,13.9,35.8,16.4,2003-04
Toronto Raptors,5.6,15.8,35.6,19.7,2003-04
Utah Jazz,3.1,9.6,32.1,10.5,2003-04
Washington Wizards,5.3,15.5,34.2,17.3,2003-04
Charolette Hornets, , , , ,2003-04
New Orleans Pelicans,6.5,20.3,31.9,21.2,2003-04
Atlanta Hawks,3.7,11.9,31.2,12,2004-05
Boston Celtics,5.3,15.3,34.9,15.7,2004-05
Brooklyn Nets,5.3,14.7,36.2,17.4,2004-05
Chicago Bulls,6.2,17.5,35.7,19.7,2004-05
Cleveland Cavaliers,3.7,11,33.2,11.5,2004-05
Dallas Mavericks,5.6,15.5,36.4,16.4,2004-05
Denver Nuggets,3.9,11.5,34,11.8,2004-05
Detroit Pistons,4.4,12.8,34.5,14.1,2004-05
Golden State Warriors,7.6,21.6,35.2,23.1,2004-05
Houston Rockets,6.7,18.5,36.4,21.1,2004-05
Indiana Pacers,6.6,19.2,34.4,21.3,2004-05
Los Angeles Clippers,2.8,8.2,34.5,8.8,2004-05
Los Angeles Lakers,7.9,22.1,35.5,24,2004-05
Memphis Grizzlies,6.5,18.1,35.7,20.9,2004-05
Miami Heat,5.8,15.4,37.7,17.1,2004-05
Milwaukee Bucks,4,11.3,35.1,12.3,2004-05
Minnesota Timberwolves,4.8,14,34.5,14.9,2004-05
New York Knicks,5.4,15.1,35.6,16.6,2004-05
Oklahoma City Thunder,8.1,22.2,36.5,24.6,2004-05
Orlando Magic,3.9,11.2,34.9,11.8,2004-05
Philadelphia 76ers,6.2,17.7,34.8,18.8,2004-05
Phoenix Suns,9.7,24.7,39.3,26.4,2004-05
Portland Trail Blazers,5.1,14.2,36.2,16.5,2004-05
Sacramento Kings,6.4,17,37.4,18.5,2004-05
San Antonio Spurs,6.2,17,36.3,19.3,2004-05
Toronto Raptors,7.9,20.5,38.5,23.8,2004-05
Utah Jazz,3,9.3,32.8,9.7,2004-05
Washington Wizards,6.3,18.3,34.3,18.8,2004-05
Charolette Hornets,3.9,10.7,36.3,12.4,2004-05
New Orleans Pelicans,5.1,16,31.5,17.3,2004-05
Atlanta Hawks,5.2,14.1,36.7,16.05,2005-06
Boston Celtics,5.7,15.7,36.2,17.45,2005-06
Brooklyn Nets,5.8,17.6,33,18.56,2005-06
Chicago Bulls,6.8,18,37.9,20.86,2005-06
Cleveland Cavaliers,6.1,17.9,33.9,18.75,2005-06
Dallas Mavericks,5.1,13.6,37.4,15.44,2005-06
Denver Nuggets,4.3,13.1,32.5,12.87,2005-06
Detroit Pistons,6.8,17.7,38.4,21.08,2005-06
Golden State Warriors,7.6,22.3,34.1,23.15,2005-06
Houston Rockets,5.7,17.2,33.2,18.98,2005-06
Indiana Pacers,6.5,18.7,34.9,20.77,2005-06
Los Angeles Clippers,3.5,10.3,34.4,10.81,2005-06
Los Angeles Lakers,6.7,19.3,34.9,20.23,2005-06
Memphis Grizzlies,7.2,19.2,37.4,23.43,2005-06
Miami Heat,6.1,17.6,34.5,18.32,2005-06
Milwaukee Bucks,6.2,16.3,38,19.02,2005-06
Minnesota Timberwolves,3.8,11.5,32.9,12.44,2005-06
New York Knicks,3.9,10.8,36.2,12.24,2005-06
Oklahoma City Thunder,7.4,19.9,37.1,21.64,2005-06
Orlando Magic,3.6,9.7,37.6,11.39,2005-06
Philadelphia 76ers,4.6,12.6,36.4,13.89,2005-06
Phoenix Suns,10.2,25.6,39.9,28.23,2005-06
Portland Trail Blazers,4.4,12.7,34.9,14.87,2005-06
Sacramento Kings,6,17.2,35.1,18.21,2005-06
San Antonio Spurs,6.4,16.6,38.5,20.09,2005-06
Toronto Raptors,7.4,19.8,37.5,21.96,2005-06
Utah Jazz,3.8,11.3,33.6,12.34,2005-06
Washington Wizards,6.1,17,35.7,17.99,2005-06
Charolette Hornets,5.2,15.4,33.9,16.1,2005-06
New Orleans Pelicans,3.7,10.8,33.9,11.97,2005-06
Atlanta Hawks,4.2,12.7,32.9,13.45,2006-07
Boston Celtics,5.7,15.6,36.7,17.85,2006-07
Brooklyn Nets,7.4,20.4,36.3,22.75,2006-07
Chicago Bulls,5.9,15.1,38.8,17.92,2006-07
Cleveland Cavaliers,6,17.1,35.2,18.6,2006-07
Dallas Mavericks,6.5,17.1,38.1,19.5,2006-07
Denver Nuggets,5.9,17.6,33.6,16.8,2006-07
Detroit Pistons,5.5,15.9,34.4,17.19,2006-07
Golden State Warriors,8.5,24,35.6,23.95,2006-07
Houston Rockets,8.6,23.1,37.2,26.6,2006-07
Indiana Pacers,5.9,16.9,34.6,18.52,2006-07
Los Angeles Clippers,3.8,11,34.8,11.93,2006-07
Los Angeles Lakers,7.4,21,35.3,21.5,2006-07
Memphis Grizzlies,6.1,16.6,36.7,18.02,2006-07
Miami Heat,6.4,18.8,34.3,20.3,2006-07
Milwaukee Bucks,6.4,18,35.6,19.26,2006-07
Minnesota Timberwolves,4.7,13.3,35.3,14.68,2006-07
New York Knicks,5.8,16.7,34.6,17.85,2006-07
Oklahoma City Thunder,6.4,17.7,36.2,19.38,2006-07
Orlando Magic,4.2,11.7,35.6,13.29,2006-07
Philadelphia 76ers,3.5,10,34.5,11.07,2006-07
Phoenix Suns,9.6,24,39.9,26.14,2006-07
Portland Trail Blazers,5.2,15,34.6,16.58,2006-07
Sacramento Kings,6.5,18.5,35,19.25,2006-07
San Antonio Spurs,7.3,19,38.1,22.24,2006-07
Toronto Raptors,6.5,17.9,36.3,19.6,2006-07
Utah Jazz,4.3,12.9,33.5,12.71,2006-07
Washington Wizards,6.8,19.7,34.8,19.56,2006-07
Charolette Hornets,5.6,15.6,35.7,17.34,2006-07
New Orleans Pelicans,5.5,15.3,36.2,17.28,2006-07
Atlanta Hawks,4.7,13.1,35.6,14.36,2007-08
Boston Celtics,7.3,19.1,38.1,21.8,2007-08
Brooklyn Nets,6.1,17.4,34.8,19.11,2007-08
Chicago Bulls,5.8,15.9,36.3,17.89,2007-08
Cleveland Cavaliers,6.7,18.8,35.8,20.86,2007-08
Dallas Mavericks,6,17.1,35.2,17.93,2007-08
Denver Nuggets,6.9,19.6,35.5,18.7,2007-08
Detroit Pistons,5.9,16.2,36.6,18.16,2007-08
Golden State Warriors,9.3,26.6,34.8,25.14,2007-08
Houston Rockets,7.1,20.8,34.2,22.03,2007-08
Indiana Pacers,9.2,24.6,37.4,26.54,2007-08
Los Angeles Clippers,4.3,13.2,32.4,13.76,2007-08
Los Angeles Lakers,8.1,21.4,37.8,22.38,2007-08
Memphis Grizzlies,7.6,21.7,34.9,22.65,2007-08
Miami Heat,6,16.7,35.8,19.7,2007-08
Milwaukee Bucks,5.5,16,34.4,17.02,2007-08
Minnesota Timberwolves,5.4,15.4,35,16.95,2007-08
New York Knicks,6,17.7,33.7,18.58,2007-08
Oklahoma City Thunder,3.8,11.5,33.3,11.7,2007-08
Orlando Magic,9.8,25.3,38.6,28.14,2007-08
Philadelphia 76ers,3.7,11.6,31.7,11.5,2007-08
Phoenix Suns,8.5,21.5,39.3,23.17,2007-08
Portland Trail Blazers,6.6,17.4,37.7,20.76,2007-08
Sacramento Kings,6.2,16.7,37.3,18.15,2007-08
San Antonio Spurs,7.2,19.6,36.9,22.65,2007-08
Toronto Raptors,7,17.8,39.2,20.96,2007-08
Utah Jazz,5,13.4,37.2,14.13,2007-08
Washington Wizards,7,19.7,35.6,21.26,2007-08
Charolette Hornets,6.5,17.6,36.7,20.09,2007-08
New Orleans Pelicans,7.7,19.8,38.9,22.9,2007-08
Atlanta Hawks,7.3,19.9,36.6,22.33,2008-09
Boston Celtics,6.6,16.5,39.7,19.63,2008-09
Brooklyn Nets,8,21.2,37.6,24.47,2008-09
Chicago Bulls,6,15.8,38.1,17.62,2008-09
Cleveland Cavaliers,8,20.4,39.3,23.93,2008-09
Dallas Mavericks,7,19.9,35,20.65,2008-09
Denver Nuggets,6.7,18,37.1,19.28,2008-09
Detroit Pistons,4.6,13.2,34.9,14.65,2008-09
Golden State Warriors,6.7,18,37.3,18.51,2008-09
Houston Rockets,7.6,20.2,37.5,23.18,2008-09
Indiana Pacers,8,21,37.8,22.84,2008-09
Los Angeles Clippers,6.5,18.5,35.4,20.51,2008-09
Los Angeles Lakers,6.7,18.5,36.1,18.81,2008-09
Memphis Grizzlies,4.9,13.5,36,15.66,2008-09
Miami Heat,7.1,19.9,35.7,21.67,2008-09
Milwaukee Bucks,6.2,17.2,36.3,18.74,2008-09
Minnesota Timberwolves,6.6,18.8,35.3,20.25,2008-09
New York Knicks,10,27.9,36,28.52,2008-09
Oklahoma City Thunder,4,11.6,34.6,12.38,2008-09
Orlando Magic,10,26.2,38.1,29.71,2008-09
Philadelphia 76ers,4.2,13.1,31.8,12.94,2008-09
Phoenix Suns,6.7,17.6,38.3,18.38,2008-09
Portland Trail Blazers,7.3,19,38.3,22.04,2008-09
Sacramento Kings,7.1,19.4,36.8,21.18,2008-09
San Antonio Spurs,7.6,19.8,38.6,23.51,2008-09
Toronto Raptors,5.8,15.7,37.2,17.58,2008-09
Utah Jazz,4.8,13.7,34.9,13.9,2008-09
Washington Wizards,4.8,14.6,33,14.99,2008-09
Charolette Hornets,6,16.3,36.6,19.24,2008-09
New Orleans Pelicans,6.8,18.6,36.4,21.3,2008-09
Atlanta Hawks,6.4,17.7,36,18.87,2009-10
Boston Celtics,6.1,17.5,34.8,18.44,2009-10
Brooklyn Nets,4.6,14.5,31.8,14.93,2009-10
Chicago Bulls,4.3,13,33,13.23,2009-10
Cleveland Cavaliers,7.3,19.3,38.1,21.44,2009-10
Dallas Mavericks,6.8,18.3,37.2,20,2009-10
Denver Nuggets,6.6,18.5,35.9,18.59,2009-10
Detroit Pistons,4.6,14.5,31.4,14.68,2009-10
Golden State Warriors,7.7,20.6,37.5,21.23,2009-10
Houston Rockets,7.9,22.4,35.1,23.14,2009-10
Indiana Pacers,8,23.1,34.8,23.8,2009-10
Los Angeles Clippers,5.9,17.8,33.2,18.49,2009-10
Los Angeles Lakers,6.5,19,34.1,19.17,2009-10
Memphis Grizzlies,4.2,12.4,33.7,12.29,2009-10
Miami Heat,6,17.4,34.6,18.65,2009-10
Milwaukee Bucks,7.9,22.1,35.6,24.25,2009-10
Minnesota Timberwolves,4.9,14.4,34.1,14.96,2009-10
New York Knicks,9.1,26.2,34.6,26.73,2009-10
Oklahoma City Thunder,5.1,15,34,15.07,2009-10
Orlando Magic,10.3,27.3,37.5,30.05,2009-10
Philadelphia 76ers,5.8,16.8,34.3,17.8,2009-10
Phoenix Suns,8.9,21.6,41.2,24.22,2009-10
Portland Trail Blazers,6,16.9,35.4,18.34,2009-10
Sacramento Kings,5.9,16.9,34.9,17.7,2009-10
San Antonio Spurs,6.8,18.9,35.8,20.11,2009-10
