Team,3PM,3PA,3P%,3P% share in Total Points,Year
Chicago Bulls,10,27.2,36.9,27.7,2017-18
Cleveland Cavaliers,11,31.1,35.5,32.1,2017-18
Dallas Mavericks,12,32.1,37.2,32.5,2017-18
Denver Nuggets,11.8,32.8,36,34.6,2017-18
Detroit Pistons,11.5,30.9,37.1,31.4,2017-18
Golden State Warriors,10.8,28.9,37.3,31.2,2017-18
Houston Rockets,11.3,28.9,39.1,29.9,2017-18
Indiana Pacers,15.3,42.3,36.2,40.8,2017-18
Los Angeles Clippers,9,24.5,36.9,25.6,2017-18
Los Angeles Lakers,9.5,26.8,35.4,26.1,2017-18
Memphis Grizzlies,10,29.1,34.5,27.8,2017-18
Miami Heat,9.2,26.2,35.2,27.8,2017-18
Milwaukee Bucks,11,30.6,36,31.9,2017-18
Minnesota Timberwolves,8.8,24.7,35.5,24.8,2017-18
New York Knicks,8.2,23.3,35.2,23.5,2017-18
Oklahoma City Thunder,8.5,24.1,35.2,24.8,2017-18
Orlando Magic,10.7,30.4,35.4,29.7,2017-18
Philadelphia 76ers,10.3,29.3,35.1,29.9,2017-18
Phoenix Suns,11,29.8,36.9,30.1,2017-18
Portland Trail Blazers,9.3,27.9,33.4,26.9,2017-18
Sacramento Kings,10.3,28.1,36.6,29.3,2017-18
San Antonio Spurs,9,24,37.5,27.3,2017-18
Toronto Raptors,11.8,33,35.8,31.7,2017-18
Utah Jazz,10.8,29.6,36.6,31.1,2017-18
Washington Wizards,9.9,26.5,37.5,27.9,2017-18
Charolette Hornets,12.7,35.7,35.6,35.7,2017-18
New Orleans Pelicans,10.2,28.2,36.2,27.4,2017-18
Atlanta Hawks,13,37,35.2,34.4,2018-19
Boston Celtics,12.6,34.5,36.5,33.6,2018-19
Brooklyn Nets,10.1,28.7,35.1,26.9,2018-19
Chicago Bulls,11.9,33.9,35.1,32.2,2018-19
Cleveland Cavaliers,9.1,25.9,35.1,26,2018-19
Dallas Mavericks,10.3,29.1,35.5,29.6,2018-19
Denver Nuggets,12.5,36.6,34,34.4,2018-19
Detroit Pistons,11,31.4,35.1,29.8,2018-19
Golden State Warriors,12.1,34.8,34.8,33.9,2018-19
Houston Rockets,13.3,34.4,38.5,33.9,2018-19
Indiana Pacers,16.1,45.4,35.6,42.4,2018-19
Los Angeles Clippers,9.5,25.4,37.4,26.4,2018-19
Los Angeles Lakers,10,25.8,38.8,26.1,2018-19
Memphis Grizzlies,10.3,31,33.3,27.6,2018-19
Miami Heat,9.9,28.9,34.2,28.7,2018-19
Milwaukee Bucks,11.3,32.4,34.9,32.1,2018-19
Minnesota Timberwolves,13.5,38.2,35.3,34.3,2018-19
New York Knicks,10,29.5,34,28.7,2018-19
Oklahoma City Thunder,9.9,25.3,39.2,26.6,2018-19
Orlando Magic,11.4,32.6,34.8,29.9,2018-19
Philadelphia 76ers,11.4,32.1,35.6,31.9,2018-19
Phoenix Suns,10.8,30.2,35.9,28.1,2018-19
Portland Trail Blazers,9.6,29.3,32.9,26.8,2018-19
Sacramento Kings,11,30.7,35.9,28.8,2018-19
San Antonio Spurs,11.3,29.9,37.8,29.7,2018-19
Toronto Raptors,12.4,33.8,36.6,32.5,2018-19
Utah Jazz,12.1,34,35.6,32.5,2018-19
Washington Wizards,11.3,33.3,34.1,29.7,2018-19
Charolette Hornets,12.8,36.2,35.3,34.2,2018-19
New Orleans Pelicans,10.3,29.9,34.4,26.8,2018-19
Atlanta Hawks,12,36.1,33.3,32.2,2019-20
Boston Celtics,12.6,34.5,36.4,33.2,2019-20
Brooklyn Nets,13.3,39.7,33.6,35.2,2019-20
Chicago Bulls,12.1,34.3,35.2,35.3,2019-20
Cleveland Cavaliers,12.2,35.1,34.8,34.3,2019-20
Dallas Mavericks,11.2,31.8,35.1,31.4,2019-20
Denver Nuggets,15.1,41.3,36.7,38.7,2019-20
Detroit Pistons,11,30.6,35.9,29.6,2019-20
Golden State Warriors,12,32.7,36.7,33.6,2019-20
Houston Rockets,10.4,31.3,33.4,29.4,2019-20
Indiana Pacers,15.6,45.3,34.5,39.7,2019-20
Los Angeles Clippers,10.2,28,36.3,28,2019-20
Los Angeles Lakers,12.4,33.5,37.1,32,2019-20
Memphis Grizzlies,11,31.6,34.9,29.1,2019-20
Miami Heat,10.9,31.5,34.7,29,2019-20
Milwaukee Bucks,13.4,35.4,37.9,35.9,2019-20
Minnesota Timberwolves,13.8,38.9,35.5,34.9,2019-20
New York Knicks,9.6,28.4,33.7,27.2,2019-20
Oklahoma City Thunder,10.7,28.5,37.6,28.1,2019-20
Orlando Magic,10.7,30.2,35.5,29.1,2019-20
Philadelphia 76ers,11.1,32.2,34.3,31,2019-20
Phoenix Suns,11.6,31.6,36.8,31.4,2019-20
Portland Trail Blazers,11.4,31.8,35.8,30.1,2019-20
Sacramento Kings,12.9,34.1,37.7,33.7,2019-20
San Antonio Spurs,12.7,34.9,36.4,34.6,2019-20
Toronto Raptors,13.8,37,37.4,36.7,2019-20
Utah Jazz,13.4,35.2,38,36.1,2019-20
Washington Wizards,12,32.6,36.8,31.5,2019-20
Charolette Hornets,13.1,38.1,34.3,35.2,2019-20
New Orleans Pelicans,13.6,36.9,37,35.2,2019-20
